Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3512308;Interior;Conchas;3962;85;;;
3512407;Interior;Cordeirópolis;6037;117;;;
3512506;Interior;Coroados;1588;24;;;
3512605;Interior;Coronel Macedo;691;30;;;
3512704;Interior;Corumbataí;977;9;;;
3512803;Interior;Cosmópolis;8031;196;;;
3512902;Interior;Cosmorama;2249;48;;;
3513009;RMSP (exceto capital);Cotia;28860;812;;;
3513108;Interior;Cravinhos;2271;118;;;
3513207;Interior;Cristais Paulista;1306;20;;;
3513306;Interior;Cruzália;226;6;;;
3513405;Interior;Cruzeiro;7212;248;;;
3513504;Interior;Cubatão;17767;547;;;
3513603;Interior;Cunha;1192;45;;;
3513702;Interior;Descalvado;9093;105;;;
3513801;RMSP (exceto capital);Diadema;31669;1563;;;
3513850;Interior;Dirce Reis;329;6;;;
3513900;Interior;Divinolândia;2284;49;;;
3514007;Interior;Dobrada;633;13;;;
3514106;Interior;Dois Córregos;2089;46;;;
3514205;Interior;Dolcinópolis;464;9;;;
3514304;Interior;Dourado;2754;27;;;
3514403;Interior;Dracena;12156;305;;;
3514502;Interior;Duartina;2267;35;;;
3514601;Interior;Dumont;2712;28;;;
3514700;Interior;Echaporã;820;29;;;
3514809;Interior;Eldorado;3404;34;;;
3514908;Interior;Elias Fausto;2674;41;;;
3514924;Interior;Elisiário;634;13;;;
3514957;Interior;Embaúba;133;11;;;
3515004;RMSP (exceto capital);Embu das Artes;11249;751;;;
3515103;RMSP (exceto capital);Embu-Guaçu;5940;240;;;
3515129;Interior;Emilianópolis;914;10;;;
3515152;Interior;Engenheiro Coelho;4336;66;;;
3515186;Interior;Espírito Santo do Pinhal;14450;141;;;
3515194;Interior;Espírito Santo do Turvo;819;11;;;
3515202;Interior;Estrela d'Oeste;3265;40;;;
3515301;Interior;Estrela do Norte;723;9;;;
3515350;Interior;Euclides da Cunha Paulista;539;19;;;
3515400;Interior;Fartura;4466;68;;;
3515509;Interior;Fernandópolis;19228;418;;;
3515608;Interior;Fernando Prestes;1439;14;;;
3515657;Interior;Fernão;747;5;;;
3515707;RMSP (exceto capital);Ferraz de Vasconcelos;10733;533;;;
3515806;Interior;Flora Rica;149;10;;;
3515905;Interior;Floreal;999;9;;;
3516002;Interior;Flórida Paulista;3542;41;;;
3516101;Interior;Florínea;447;17;;;
3516200;Interior;Franca;39228;1308;;;
3516309;RMSP (exceto capital);Francisco Morato;15751;474;;;
3516408;RMSP (exceto capital);Franco da Rocha;18569;441;;;
3516507;Interior;Gabriel Monteiro;1239;8;;;
3516606;Interior;Gália;1075;23;;;
3516705;Interior;Garça;9297;173;;;
3516804;Interior;Gastão Vidigal;650;18;;;
3516853;Interior;Gavião Peixoto;2104;24;;;
3516903;Interior;General Salgado;1593;50;;;
3517000;Interior;Getulina;1067;37;;;
3517109;Interior;Glicério;1387;23;;;
3517208;Interior;Guaiçara;1871;31;;;
3517307;Interior;Guaimbê;1077;9;;;
3517406;Interior;Guaíra;9667;245;;;
