Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3552502;RMSP (exceto capital);Suzano;29435;1043;;;
3552551;Interior;Suzanápolis;487;12;;;
3552601;Interior;Tabapuã;3389;68;;;
3552700;Interior;Tabatinga;3058;60;;;
3552809;RMSP (exceto capital);Taboão da Serra;19934;1050;;;
3552908;Interior;Taciba;864;27;;;
3553005;Interior;Taguaí;3500;47;;;
3553104;Interior;Taiaçu;1451;19;;;
3553203;Interior;Taiúva;1100;19;;;
3553302;Interior;Tambaú;5412;63;;;
3553401;Interior;Tanabi;7121;138;;;
3553500;Interior;Tapiraí;873;11;;;
3553609;Interior;Tapiratiba;3095;43;;;
3553658;Interior;Taquaral;403;13;;;
3553708;Interior;Taquaritinga;14778;250;;;
3553807;Interior;Taquarituba;7271;121;;;
3553856;Interior;Taquarivaí;1019;22;;;
3553906;Interior;Tarabai;1008;36;;;
3553955;Interior;Tarumã;1819;58;;;
3554003;Interior;Tatuí;21846;533;;;
3554102;Interior;Taubaté;38338;1188;;;
3554201;Interior;Tejupá;417;13;;;
3554300;Interior;Teodoro Sampaio;3996;61;;;
3554409;Interior;Terra Roxa;1391;40;;;
3554508;Interior;Tietê;8738;132;;;
3554607;Interior;Timburi;869;16;;;
3554656;Interior;Torre de Pedra;235;13;;;
3554706;Interior;Torrinha;3872;27;;;
3554755;Interior;Trabiju;459;5;;;
3554805;Interior;Tremembé;2973;71;;;
3554904;Interior;Três Fronteiras;1909;39;;;
3554953;Interior;Tuiuti;1287;22;;;
3555000;Interior;Tupã;8229;339;;;
3555109;Interior;Tupi Paulista;4308;56;;;
3555208;Interior;Turiúba;543;4;;;
3555307;Interior;Turmalina;587;7;;;
3555356;Interior;Ubarana;1730;24;;;
3555406;Interior;Ubatuba;12579;160;;;
3555505;Interior;Ubirajara;579;14;;;
3555604;Interior;Uchoa;2071;40;;;
3555703;Interior;União Paulista;319;7;;;
3555802;Interior;Urânia;3400;52;;;
3555901;Interior;Uru;417;5;;;
3556008;Interior;Urupês;938;54;;;
3556107;Interior;Valentim Gentil;4808;78;;;
3556206;Interior;Valinhos;24685;542;;;
3556305;Interior;Valparaíso;5422;91;;;
3556354;Interior;Vargem;611;24;;;
3556404;Interior;Vargem Grande do Sul;6459;120;;;
3556453;RMSP (exceto capital);Vargem Grande Paulista;6879;139;;;
3556503;Interior;Várzea Paulista;14995;312;;;
3556602;Interior;Vera Cruz;723;49;;;
3556701;Interior;Vinhedo;18756;252;;;
3556800;Interior;Viradouro;3371;110;;;
3556909;Interior;Vista Alegre do Alto;1918;25;;;
3556958;Interior;Vitória Brasil;769;11;;;
3557006;Interior;Votorantim;12583;576;;;
3557105;Interior;Votuporanga;28284;510;;;
3557154;Interior;Zacarias;282;12;;;
3557204;Interior;Chavantes;2785;62;;;
3557303;Interior;Estiva Gerbi;1266;37;;;
;;Ignorado;265;0;;;
;;;;;;
